client_name,client_version,client_previous_version,client_timestamp,client_previous_timestamp,dependency_name,dependency_version_range,dependency_previous_version_range,dependency_resolved_version,dependency_previous_resolved_version,resources_client, first_round_codes,codes,causes,how_downgrade,quotes
kasia,4.0.21,4.0.20,2017-02-13T18:52:26.700Z,2017-02-13T12:43:00.109Z,babel-polyfill,6.7.4,^6.7.4,6.7.4,6.22.0,"https://github.com/outlandishideas/kasia/commit/ca320f13e4f8b691754a50a4ec2330d5dc73fab9#diff-b9cfc7f2cdf78a7f4b91a753d10865a2, https://github.com/outlandishideas/kasia/pull/49, https://github.com/outlandishideas/kasia/issues/44","fix issue, change batch of dependencies once, remove range operator, primary cause due to another provider",Fix bug,"Breaking change, Run-time breaking change","Change batch of providers, Remove operator, Change more than 10 providers","""Fixes bugs identified in #44 by @olapersson that prevented component updating on changed props and connectWpPost components resolving entities by slug.""In order to use this in a project that uses redux-immutable some functionality would have to be overridden."""
electron-image-resize,1.2.2,1.2.1,2016-07-06T14:30:52.815Z,2016-07-06T14:19:43.003Z,eslint,^2.9.0,^3.0.1,2.13.1,3.0.1,https://github.com/davej/electron-image-resize/commit/7abc10abef464d6a988b66b8f24b51943a6f1e7a,"fix dependencies, choose specific version range",Fix unspecified issue,,"Change 2 providers, Choose specific range","""fix devDeps"""
desktop-dimmer,2.7.0,2.2.0,2017-02-27T22:56:05.380Z,2017-01-29T22:50:20.901Z,electron,1.4.14,^1.4.15,1.4.14,1.5.0,https://github.com/sidneys/desktop-dimmer/commit/1dae354326f7d53a8ca44bee16423d7e630e2436#diff-b9cfc7f2cdf78a7f4b91a753d10865a2,"remove range operator, adding other providers when downgrading",Add new provider(s),,"Change more than 10 providers, Choose specific range",
chai-jq,0.0.6,0.0.5,2014-03-12T15:38:46.946Z,2014-01-01T15:47:26.220Z,bower,1.2.7,~1.2.7,1.2.7,1.2.8,https://github.com/FormidableLabs/chai-jq/commit/eec1a9559ccec95948abd1f1543a32d90812f65d,"remove range operator, change batch of dependencies once",No specific factor,,Remove operator,
gulp-cookbook,0.0.12,0.0.11,2015-06-17T17:15:37.264Z,2015-06-12T04:06:56.573Z,gulp-plumber,0.6.0,0.6.x,0.6.0,0.6.6,https://github.com/klaascuvelier/gulp-cookbook/commit/81854f78eb59f44ccf4e67e8caee099befa30c5f#diff-b9cfc7f2cdf78a7f4b91a753d10865a2,"remove range operator, change batch of dependencies once",No specific factor,,Remove operator,
co-postgres-queries,0.0.8,0.0.7,2016-09-01T14:30:05.466Z,2016-06-21T07:47:15.278Z,es5-shim,4.4.1,^4.4.1,4.4.1,4.5.9,https://github.com/marmelab/coPostgresQuery/commit/8b4f70cef1a759eed6c7a328403406252cffe749,"remove range operator, change batch of dependencies once","Add new provider(s), Change configuration",,Remove operator,
react-clockpicker,0.1.0,0.0.4,2016-08-14T07:52:26.184Z,2016-01-21T12:56:41.527Z,eslint-plugin-react,3.11.3,^3.11.3,3.11.3,3.15.0,"https://github.com/frontsideair/react-clockpicker/commit/7b9c94b3c309298b9f021c9a1dfb3aa2d7bd1d15, https://github.com/frontsideair/react-clockpicker/issues/1","remove range operator, change batch of dependencies once",Fix incompatibility,"Incompatibilities, Other providers",Remove operator,"""I finally reproduced the issue and will be fixing it asap. The problem is AFAIK react-clockpicker depends on React v0.14.8 and multiple versions of React may cause this error, as noted in the error details page."""
wjplayer,1.4.0,1.3.1,2016-11-24T15:53:15.207Z,2016-11-13T10:02:08.572Z,eslint,3.1.1,^3.1.1,3.1.1,3.10.0,https://github.com/neuron-digital/wjplayer/commit/1dcace5c0c1ce62eb5874fceaa6d09c67a74179f#diff-b9cfc7f2cdf78a7f4b91a753d10865a2,"remove range operator, change batch of dependencies once",No specific factor,,Remove operator,
rapptor,0.0.28,0.0.27,2015-03-27T18:46:04.619Z,2015-03-27T01:14:40.976Z,handlebars,3.0.0,^3.0.0,3.0.0,3.0.1,https://github.com/firstandthird/rapptor/commit/1323e844c06ecb521c1092cc84a9102f9cbbcd36,"remove range operator, change batch of dependencies once",Change configuration,,Remove operator,
nightwatch,0.9.13,0.9.12,2017-03-11T23:21:17.862Z,2017-01-01T21:31:33.387Z,ejs,0.8.3,~0.8.3,0.8.3,0.8.8,https://github.com/nightwatchjs/nightwatch/commit/6d456bd572017c3adb8312048ed3bf2ef93291ec,"remove range operator, change batch of dependencies once",No specific factor,,"Remove operator, Choose specific version",
mabolo,0.3.3,0.3.2,2015-09-30T06:59:18.545Z,2015-06-04T09:43:52.146Z,mongodb,1.4.28,^1.4.28,1.4.28,1.4.38,https://github.com/jysperm/Mabolo/commit/d03931fc88a2ec08f1f138affda826c725ba31c0,"remove range operator, change batch of dependencies once",No specific factor,,Remove operator,
multi-entry-webpack-starter,1.0.7,1.0.6,2017-05-02T03:02:27.490Z,2017-03-26T12:14:21.952Z,babel-preset-es2015,~6.9.0,^6.9.0,6.9.0,6.24.0,https://github.com/cfansimon/multi-entry-webpack-starter/commit/c8056cb2b6c3e1e48f128f28f56dc0888bd1fb1e,"remove range operator, change batch of dependencies once",Fix unspecified issue,,"Remove operator, Choose specific version for a single provider",
html-metadata,1.1.0,1.0.0,2015-06-29T13:22:51.580Z,2015-05-31T16:59:58.782Z,bluebird,2.8.2,2.9.24,2.8.2,2.9.24,https://github.com/wikimedia/html-metadata/commit/37ed5c3a9728fe857a39316f3dfbba095ee23ab8,"choose specific version, specific provider to downgrade, fix issue with downgrade",Fix unspecified issue,"Breaking change, Run-time breaking change",,"""Downgrade bluebird to 2.8.2: Bluebird's 2.9.x branch has proven to be rather buggy and introduces more issues than it fixes, so let's stick with the stable version."""
level-scuttlebutt,5.0.8,5.0.7,2014-03-06T05:09:53.426Z,2014-03-06T00:00:43.488Z,delay-stream,^0.0.1,~0.0.1,0.0.1,0.0.3,https://github.com/dominictarr/level-scuttlebutt/commit/65fe0486d4fb491b1e3998abff8e3d3147fa166a#diff-b9cfc7f2cdf78a7f4b91a753d10865a2,"change range operator, change batch of dependencies once",No specific factor,,Change ~ by ^,"""use ^ instead of ~"""
reconnect,1.3.4,1.3.3,2013-06-06T12:54:39.245Z,2013-06-06T12:47:24.839Z,hyperscript,1,~1.0.1,1.0.0,1.0.7,https://github.com/dominictarr/reconnect/commit/5520b3f6b9fd6e7e42559faa22a4677748ad30ef,"change range operator, change batch of dependencies once",No specific factor,,,"""widen ranges”"
webpack-dependency-tree,0.0.2,0.0.1,2015-03-05T17:28:21.198Z,2015-03-05T17:16:14.538Z,enhanced-resolve,~0.4.12,^0.8.4,0.4.12,0.8.4,https://github.com/botify-labs/webpack-dependency-tree/commit/f160e0a44699365c8c0020ef9cf2323322e89cbc,"change range operator, specific provider to downgrade, fix dependency version",Fix unspecified issue,,"Choose specific range, Change single provider","""Fix enhanced-resolve dependency version"""
bates,2.1.3,2.1.2,2016-05-31T21:46:35.786Z,2016-05-31T21:40:14.009Z,github,^0.2.4,^1.1.0,0.2.4,1.1.0,https://github.com/luiscarli/bates/commit/4e8b0646887121ee18f16b63ac39cc8a57637063,"specific provider to downgrade, choose specific version range, fix dependency version","Fix unspecified issue, Specify provider to downgrade",,"Choose specific range, Change single provider","""(FIX) package: reverse to github@0.2.4."""
characteristic,0.0.3,0.0.2,2015-01-20T15:29:41.551Z,2015-01-20T03:28:06.382Z,connect,^2.28,*,2.28.1,3.3.4,https://github.com/shawnzhu/characteristic/commit/7229642b47d7e1af98776aa2e4e83eb098641c7a,"specific provider to downgrade, choose specific version range, fix broken test",Fix broken test,"Breaking change, Development-time breaking change","Choose specific range, Change single provider","""fix broken test”"
package-cache,0.99.5,0.99.3,2017-03-21T15:09:58.653Z,2017-03-21T11:38:41.299Z,glob,5.0.10,6.0.1,5.0.10,6.0.1,https://github.com/ReissClothing/package-cache/commit/27543ef35911f9fb6b1ed67e568aef35cb8808f0,"specific provider to downgrade, choose specific version range, adjust to couple with new npm version","Fix incompatibility, Remove some provider(s)",,"Change batch of providers, Choose specific version, Choose specific range for a single provider","""Version 0.99.4. This version is now rebasing the project from version 0.3.4 of `npm-cache`.”"
jsreport,0.3.0,0.2.10,2015-03-30T16:24:20.816Z,2015-03-08T15:54:11.447Z,memorystream,0.3.0,*,0.3.0,0.3.1,https://github.com/jsreport/jsreport/issues/42,fixing warning message from dependency when installing client package,Fix warning message,Unexpected behaviour,,"""Should be empty: [] is just a harmless message coming from one of the libraries. I plan to replace the library in the future but please ignore the message for now."""
angie,0.3.0,0.2.5,2015-07-04T16:40:00.032Z,2015-06-27T20:14:09.587Z,babel-eslint,3.1.17,^3.1.17,3.1.17,3.1.19,https://github.com/angie-framework/angie/commit/859cb0c0a25040cc3eb65786b00b448133a6e7fc#diff-b9cfc7f2cdf78a7f4b91a753d10865a2,"fixing tests, remove range operator, change batch of dependencies once",Fix broken test,,"Change batch of providers, Remove operator, Choose specific version for two providers","""Added more fixes for tests”"
react-screen-keyboard,1.0.3,1.0.2,2016-08-21T12:32:16.794Z,2016-08-21T11:54:39.767Z,babel-core,6.11.4,^6.0.20,6.11.4,6.13.2,https://github.com/WiaczeslawP/react-screen-keyboard/commit/adaefaf8979ec815e6d2e27e0434eda1c51fa9d0#diff-b9cfc7f2cdf78a7f4b91a753d10865a2,"change batch of dependencies once, choose specific version of provider, add providers when downgrading",Add new provider(s),,,"""modify package json and webpack”"
formatic,0.3.74,0.3.72,2017-04-18T20:19:30.414Z,2017-03-21T17:39:47.022Z,style-loader,0.13.0,^0.13.0,0.13.0,0.13.2,https://github.com/zapier/formatic/commit/af3c7ce96f98ab47dcf7fbf9563296cf2dd90be1,"remove range operator, change batch of dependencies once, no specific reason",No specific factor,,"Change batch of providers, Remove operator, Change more than 10 providers","""lockdown dev dependenciesc”"
styled-jsx,0.5.6,0.5.5,2017-02-16T22:52:27.351Z,2017-02-13T21:57:02.588Z,babel-traverse,6.21.0,^6.21.0,6.21.0,6.22.1,https://github.com/zeit/styled-jsx/commit/9b025e4b6c25d52d9023882e962b13b063da946c,"remove range operator, change batch of dependencies once, no specific reason",No specific factor,,,"""Pinned dependencies”"
mustacher,0.1.20,0.1.19,2016-09-21T12:38:40.615Z,2016-08-06T13:56:57.441Z,lodash.isnumber,3.0.1,^3.0.1,3.0.1,3.0.3,https://github.com/sixertoy/mustacher/commit/6e28a5655b1638422e14c82b016dc411420559c6#diff-b9cfc7f2cdf78a7f4b91a753d10865a2,"remove range operator, change batch of dependencies once, no specific reason","Fix unspecified issue, Add new feature",,,
artemis-core,0.1.25,0.1.24,2017-03-09T15:35:16.934Z,2017-03-05T17:00:07.803Z,karma-webpack,~1.7.0,^1.7.0,1.7.0,1.8.1,https://github.com/LeerixLabs/artemis-core/commit/2963c072e2dca1ca8ab7de959c06934bc060763b#diff-b9cfc7f2cdf78a7f4b91a753d10865a2,"change range operator, change batch of dependencies once, change from ^ to ~",No specific factor,,Change ^ by ~,"""stricter package imports”"
noflo-core,0.2.1,0.2.0,2016-06-03T14:35:24.119Z,2016-05-24T10:51:02.157Z,noflo,^0.5.22,~0.6.0,0.5.22,0.6.1,"https://github.com/noflo/noflo-core/commit/76f81184d9a534018e1c109a53af531e2a7f53ec, https://github.com/noflo/noflo-core/pull/16","remove range operator, choose specific version, change batch of dependencies once, recommended by bot, from greenkeeper",Fix unspecified issue,Bot recommendation,"Change more than 10 providers, Choose specific version","""We’re all trying to keep our software up to date, yet stable at the same time. This is the first in a series of automatic PRs to help you achieve this goal. It pins all of the dependencies in your package.json, so you have complete control over the exact state of your software.”"
observable-process,0.6.6,0.6.5,2016-02-16T14:36:55.119Z,2016-02-10T15:58:18.951Z,portfinder,^0.4.0,^1.0.0,0.4.0,1.0.1,"https://github.com/Originate/observable-process/commit/178ccaf0d3f9cf3463ec15fa2a0d5b65a91902c7#diff-b9cfc7f2cdf78a7f4b91a753d10865a2, https://github.com/Originate/observable-process/pull/1, https://github.com/Originate/observable-process/commit/b18ab9dd2fe18d23e7b28cfccbf2cd3524780b54#diff-b9cfc7f2cdf78a7f4b91a753d10865a2","[fix build,  conflicts between providers, choose specific range, change specific provider], [remove range operator, change batch of dependencies once]",Fix build,"Breaking change, Build-time breaking change","Change single dependency, Choose specific range",
mermin,0.1.6,0.1.5,2013-04-05T19:03:40.967Z,2012-08-30T21:37:10.609Z,csso,1.2.9,>= 1.2.9,1.2.9,1.2.16,https://github.com/alexahn/mermin/commit/bd6fe2ddea71c928d6e78b8129f784031b878089#diff-b9cfc7f2cdf78a7f4b91a753d10865a2,"incompatibility between providers, remove range operator, change specific provider",Recover from breaking change,"Breaking change, Run-time breaking change",,"""new version of uglify-js has changed apis"" <- one provider changed the API and pushed the other one to downgrade too"
windshaft,3.0.0,2.8.0,2017-03-16T15:09:17.859Z,2017-03-16T14:08:38.746Z,redis,~2.4.2,^2.4.2,2.4.2,2.7.1,https://github.com/CartoDB/Windshaft/commit/945d4abfdb85e597d1c3a74c4fc50875b3400feb,"change specific provider, change range operator",No specific factor,,"Change single dependency, Choose specific range, Change from ^ to ~","""Freeze redis dev dep”"
